UN member or observer state,Overall name of legislature,Name of house(s),House level,Term (years),Electoral system,Seats,Population per seat
Myanmar (Burma),Assembly of the Union (ပြည်ထောင်စုလွှတ်တော် Pyidaungsu Hluttaw),House of Nationalities (အမျိုးသားလွှတ်တော် Amyotha Hluttaw),Upper,5,popular vote and appointed by the military,224,"269,107"
Namibia,Parliament,National Assembly,Lower,5,Closed listproportional representation and appointments by the President,104,"26,923"
Namibia,Parliament,National Council,Upper,6,Indirect election by Regional Councils,26,"80,769"
Nauru,Parliament,Parliament,Unicameral,3,Dowdall system,19,521
Nepal,Federal Parliament (संघीय संसद Sanghiya Sansad),House of Representatives (प्रतिनिधि सभा; Pratinidi Sabha),Lower,5,Mixed member majoritarian (165 members elected through  First-past-the-post voting and 110 elected through proportional representation voting method),275,"105,392"
Nepal,Federal Parliament (संघीय संसद Sanghiya Sansad),National Assembly (राष्ट्रिय सभा; Rastriya Sabha),Upper,6,Indirect single transferable vote,59,"491,233"
Netherlands,States General (Staten-Generaal),"House of Representatives (Tweede Kamer, Second Chamber)",Lower,4,Party-list proportional representation,150,"111,533"
Netherlands,States General (Staten-Generaal),"Senate (Eerste Kamer, First Chamber)",Upper,4,Indirect party-list proportional (by members of the states-provincial and the Caribbean Electoral colleges for the Senate),75,"223,066"
New Zealand,Parliament (Pāremata),House of Representatives (Whare o ngā Māngai),Unicameral,3,mixed-member proportional representation,120,"33,566"
Nicaragua,National Assembly (Asamblea Nacional),National Assembly (Asamblea Nacional),Unicameral,5,,92,"64,034"
Niger,National Assembly (Assemblée nationale),National Assembly (Assemblée nationale),Unicameral,5,,171,"139,210"
Nigeria,National Assembly,House of Representatives,Lower,4,,360,"388,898"
Nigeria,National Assembly,Senate,Upper,4,,109,"1,284,436"
North Macedonia,Assembly (Собрание Sobranie),Assembly (Собрание Sobranie),Unicameral,4,,120,"16,736"
Norway,Great Assembly (Stortinget / Stuorradiggi),Great Assembly (Stortinget / Stuorradiggi),Unicameral,4,proportionalmixed,169,"29,785"
Oman,Council of Oman (مجلس عُـمان),Consultative Assembly (مجلس الشورى Majlis al-Shura),Lower,4,,84,"33,017"
Oman,Council of Oman (مجلس عُـمان),Council of State (مجلس الدولة Majlis al-Dawla),Upper,4,,85,"32,628"
Pakistan,Parliament of Pakistan (پارلیمنٹ),National Assembly (ایوان زیریں پاکستان),Lower,5,,342,"537,023"
Pakistan,Parliament of Pakistan (پارلیمنٹ),Senate (ایوانِ بالا / ایوانِ بالا),Upper,6,,104,"1,735,000"
Palau,National Congress (Olbiil era Kelulau),House of Delegates,Lower,4,majority,16,"1,309"
Palau,National Congress (Olbiil era Kelulau),Senate,Upper,4,majority,13,"2,328"
State of Palestine,Legislative Council (المجلس التشريعي Al-Majlis al-Tashrī'iyy),Legislative Council (المجلس التشريعي Al-Majlis al-Tashrī'iyy),Unicameral,,,132,"32,277"
Panama,National Assembly (Asamblea Nacional),National Assembly (Asamblea Nacional),Unicameral,5,,71,"47,969"
Papua New Guinea,National Parliament,National Parliament,Unicameral,5,,109,"56,766"
Paraguay,Congress (Congreso),Chamber of Deputies (Cámara de Diputados),Lower,5,,80,"80,681"
Paraguay,Congress (Congreso),Chamber of Senators (Cámara de Senadores),Upper,5,,45,"143,434"
Peru,Congress of the Republic (Congreso de la República / Rimana Wasin),Congress of the Republic (Congreso de la República / Rimana Wasin),Unicameral,5,,130,"217,082"
Philippines,Congress (Kongreso),House of Representatives (Kapulungan ng mga Kinatawan / Mababang Kapulungan / Cámara de Representantes),Lower,3,"Parallel voting: Largest remainder method via closed lists with a three-seat cap (20% of seats), and first-past-the-post voting (80% of seats)",304,"341,364"
Philippines,Congress (Kongreso),Senate (Senado / Mataas na Kapulungan),Upper,6,bloc voting. Voter is allocated 12 votes. 1/2 of the seats are contested every 3 years with the 12 elected senators having the largest portion of the National Popular Vote,24,"4,323,958"
Poland,Parliament of PolandNational Assembly (Zgromadzenie Narodowe),Sejm (Sejm),Lower,4,proportionalopen list,460,"83,697"
Poland,Parliament of PolandNational Assembly (Zgromadzenie Narodowe),Senate (Senat),Upper,4,majority,100,"385,010"
Portugal,Assembly of the Republic (Assembleia da República),Assembly of the Republic (Assembleia da República),Unicameral,4,proportionalparty list,230,"45,920"
Qatar,Consultative Assembly (مجلس الشورى Majlis ash-Shura),Consultative Assembly (مجلس الشورى Majlis ash-Shura),Unicameral,,,35,"52,958"
Romania,Parliament (Parlamentul),Chamber of Deputies (Camera Deputaților),Lower,4,,329,"58,416"
Romania,Parliament (Parlamentul),Senate (Senat),Upper,4,,137,"139,005"
Russia,Federal Assembly (Федеральное Собрание Federalnoye Sobraniye),State Duma (Государственная Дума Gosudarstvennaya Duma),Lower,5,parallel (First-past-the-post voting for 225 members and proportional party list for 225 members),450,"318,000"
Russia,Federal Assembly (Федеральное Собрание Federalnoye Sobraniye),Federation Council (Совет Федерации Sovet Federatsii),Upper,dependent on individual elections in the federal subjects (4 or 5),senators are delegated from the executive and legislative bodies of the federal subjects,170,"862,048"
Rwanda,Parliament (Inteko Ishinga Amategeko / Parlement),Chamber of Deputies (Umutwe w'Abadepite / Chambre des députés),Lower,5,,80,"146,121"
Rwanda,Parliament (Inteko Ishinga Amategeko / Parlement),Senate (Umutwe wa Sena / Sénat),Upper,8,,26,"449,603"
Saint Kitts and Nevis,National Assembly,National Assembly,Unicameral,5,,15,"3,686"
Saint Lucia,Parliament,House of Assembly,Lower,5,,17,"10,221"
Saint Lucia,Parliament,Senate,Upper,,,11,"15,796"
Saint Vincent and the Grenadines,House of Assembly,House of Assembly,Unicameral,5,,21,"5,714"
Samoa,Parliament (Palemene),Legislative Assembly (Fono Aoao Faitulafono),Unicameral,5,,51,"3,916"
San Marino,Grand and General Council (Consiglio Grande e Generale),Grand and General Council (Consiglio Grande e Generale),Unicameral,5,,60,536
São Tomé and Príncipe,National Assembly (Assembleia Nacional),National Assembly (Assembleia Nacional),Unicameral,4,,55,"3,330"
Saudi Arabia,,Consultative Assembly (مجلس الشورى Majlis Ash-Shura),non-parliamentary,4,Appointed by the King,150,"220,000"
Senegal,Parliament,National Assembly (Assemblée nationale),Unicameral,5,,150,"85,701"
Serbia,National Assembly (Народна скупштина / Narodna skupština),National Assembly (Народна скупштина / Narodna skupština),Unicameral,4,,250,"28,482"
Seychelles,National Assembly (Assemblée nationale / Lasanble Nasyonal),National Assembly (Assemblée nationale / Lasanble Nasyonal),Unicameral,5,,31,"2,709"
Sierra Leone,Parliament,Parliament,Unicameral,5,,124,"40,136"
Singapore,Parliament (Parlimen / 国家议会 Guójiā yìhuì / நாடாளுமன்றம் Nāṭāḷumaṉṟam),Parliament (Parlimen / 国家议会 Guójiā yìhuì / நாடாளுமன்றம் Nāṭāḷumaṉṟam),Unicameral,5,"First-past-the-post voting (MP) (in single member constituencies), Party block voting (in group representation constituencies), and appointed by the President (NMP)",99,"52,360"
Slovakia,National Council (Národná rada),National Council (Národná rada),Unicameral,4,,150,"35,980"
Slovenia,Parliament (Državni zbor Republike Slovenije),National Assembly (Državni zbor),Lower,4,Open list proportional representation with a 4% election threshold,90,"22,779"
Slovenia,Parliament (Državni zbor Republike Slovenije),National Council (Državni svet),Upper,5,First-past-the-post indirect elections held within 'functional' interest organisations and 'local' interest communities by electoral bodies (electors).,40,"51,254"
Solomon Islands,National Parliament,National Parliament,Unicameral,4,,50,"10,460"
Somalia,Federal Parliament (Baarlamaanka Federaalka / لبرلمان الاتحادي),House of the People,Lower,4,Appointed by president,275,"36,675"
Somalia,Federal Parliament (Baarlamaanka Federaalka / لبرلمان الاتحادي),Senate,Upper,4,majority,54,"180,100"
South Africa,Parliament,National Assembly,Lower,5,,400,"126,466"
South Africa,Parliament,National Council of Provinces,Upper,,,90,"562,075"
South Sudan,National Legislature,National Legislature Assembly,Lower,,,170,"48,591"
South Sudan,National Legislature,Council of States,Upper,,Appointed by President,50,"165,210"
Spain,General Courts (Cortes Generales),Congress of Deputies (Congreso de los Diputados),Lower,"4, unless elections are called earlier.",proportionalclosed list,350,"131,894"
Spain,General Courts (Cortes Generales),Senate (Senado),Upper,"4, unless elections are called earlier.","208 are appointed through general election and 57 when regional legislatures are renewed, which not always happens at the same date",265,"173,545"
Sri Lanka,Parliament(ශ්‍රී ලංකා පාර්ලිමේන්තුව / இலங்கை பாராளுமன்றம்),Parliament(ශ්‍රී ලංකා පාර්ලිමේන්තුව / இலங்கை பாராளுமன்றம்),Unicameral,5,,225,"90,122"
Sudan,National Legislature,National Assembly (Majlis Watani),Lower,6,,426,"68,653"
Sudan,National Legislature,Council of States (Majlis Welayat),Upper,6,,50,"617,880"
Suriname,National Assembly (Nationale Assemblée),National Assembly (Nationale Assemblée),Unicameral,5,,51,"10,470"
Sweden,Parliament (Riksdagen),Parliament (Riksdagen),Unicameral,4,proportional,349,"27,286"
Syria,People's Assembly (مجلس الشعب Majlis al-Sha'ab),People's Assembly (مجلس الشعب Majlis al-Sha'ab),Unicameral,4,,250,"86,964"
Switzerland,"Federal Assembly (Bundesversammlung, Assemblée fédérale, Assemblea federale, Assamblea federala)","National Council (Nationalrat, Conseil national, Consiglio nazionale, Cussegl naziunal)",Lower,4,,200,"40,000"
Switzerland,"Federal Assembly (Bundesversammlung, Assemblée fédérale, Assemblea federale, Assamblea federala)","Council of States (Ständerat, Conseil des États, Consiglio degli Stati, Cussegl dals chantuns)",Upper,4,,46,"173,913"
Tajikistan,Supreme Assembly (Маҷлиси Олии Majlisi Oli),Assembly of Representatives (Маҷлиси намояндагон Majlisi namoyandagon),Lower,5,,63,"123,809"
Tajikistan,Supreme Assembly (Маҷлиси Олии Majlisi Oli),National Assembly (Маҷлиси миллии Majlisi Millii),Upper,5,,33,"236,363"
Tanzania,National Assembly (Bunge),National Assembly (Bunge),Unicameral,5,,384,"120,974"
Thailand,National Assembly (รัฐสภา Ratthasapha),House of Representatives (สภาผู้แทนราษฎร Sapha Phuthaen Ratsadon),Lower,4,"mixed-member proportional representation, 350 are first-past-the-post and 150 is party-list",500,"140,997"
Thailand,National Assembly (รัฐสภา Ratthasapha),Senate (วุฒิสภา Wutthisapha),Upper,5,elected by coup d'état government,250,-
Togo,National Assembly (Assemblée nationale),National Assembly (Assemblée nationale),Unicameral,5,,91,"76,434"
Tonga,Legislative Assembly (Fale Alea),Legislative Assembly (Fale Alea),Unicameral,,,25,"3,962"
Trinidad and Tobago,Parliament,House of Representatives,Lower,5,,41,"32,139"
Trinidad and Tobago,Parliament,Senate,Upper,,,31,"42,506"
Tunisia,Assembly of the Representatives of the People (مجلس نواب الشعب Majless Noweb al Shaab),Assembly of the Representatives of the People (مجلس نواب الشعب Majless Noweb al Shaab),Unicameral,5,,217,"49,188"
Turkey,Grand National Assembly of Turkey(Türkiye Büyük Millet Meclisi),Grand National Assembly of Turkey(Türkiye Büyük Millet Meclisi),Unicameral,5,,600,"135,862"
Turkmenistan,National Council (Milli Geňeş),Assembly (Mejlis),Lower,5,majority voting in single member constituencies.,125,"41,360"
Turkmenistan,National Council (Milli Geňeş),People's Council (Halk Maslahaty),Upper,5,"indirect election of 48 seats by members of provincial and capital city People's Councils, presidential appointment of 8 seats.",56,"92,321"
Tuvalu,Parliament (Palamene),Parliament (Palamene),Unicameral,4,,15,666
Uganda,Parliament (Bunge),Parliament (Bunge),Unicameral,5,,529,"87,839"
Ukraine,Supreme Council (Верховна Рада Verkhovna Rada),Supreme Council (Верховна Рада Verkhovna Rada),Unicameral,5,,450,"101,248"
United Arab Emirates,Federal National Assembly (المجلس الوطني الإتحادي Majlis Watani Ittihad),Federal National Assembly (المجلس الوطني الإتحادي Majlis Watani Ittihad),Unicameral,4,,40,"206,601"
United Kingdom,Parliament,House of Commons,Lower,5,First-past-the-post voting in single member constituencies.,650,"95,787"
United Kingdom,Parliament,House of Lords,Upper,Life,Life peers appointed by the Sovereign on advice of Prime Minister. 92 elected by and from hereditary peers using preferential voting. 26 Lords Spiritual are bishops of the Church of England.,773,"81,388"
United States,Congress,House of Representatives,Lower,2,"Depends on the state, mainly First-past-the-post voting, in single-member constituencies.",435,"722,636"
United States,Congress,Senate,Upper,6,"Depends on the state, mainly First-past-the-post voting. 1/3 of Senate goes up for election every two years. Each state has two Senators.",100,"3,143,467"
Uruguay,General Assembly (Asamblea General),Chamber of Representatives (Cámara de Representantes),Lower,5,,99,"33,195"
Uruguay,General Assembly (Asamblea General),Chamber of Senators (Cámara de Senadores),Upper,5,,30,"109,543"
Uzbekistan,Supreme Assembly (Oliy Majlis / Олий Мажлис),Legislative Chamber (Qonunchilik palatasi / Қонунчилик палатаси),Lower,5,,150,"194,156"
Uzbekistan,Supreme Assembly (Oliy Majlis / Олий Мажлис),Senate (Senati / Сенати),Upper,5,,100,"291,234"
Vanuatu,Parliament (Parlement),Parliament (Parlement),Unicameral,4,,52,4319
Vatican City,Pontifical Commission (Pontificia Commissione / Pontificia Commissio),Pontifical Commission (Pontificia Commissione / Pontificia Commissio),Unicameral,5,,7,114
Venezuela,National Assembly (Asamblea Nacional),National Assembly (Asamblea Nacional),Unicameral,5,,167,"175,430"
Vietnam,National Assembly (Quốc hội),National Assembly (Quốc hội),Unicameral,5,,498,"176,385"
Yemen,Parliament,House of Representatives (مجلس النواب Majlis al-Nuwaab),Lower,6,,301,"81,485"
Yemen,Parliament,Shura Council (Majlis al-Shura),Upper,Life,,111,"220,963"
Zambia,National Assembly,National Assembly,Unicameral,5,,166,"87,284"
Zimbabwe,Parliament,House of Assembly,Lower,5,,210,"61,971"
Zimbabwe,Parliament,Senate,Upper,5,,40,"325,350"
